entry_dir,checkpoint,dataset_type,main_task_type,degrade_type,count,psnr_mean,psnr_std,ssim_mean,ssim_std
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0006000,eyeq_restoration_test,fundus_restoration,blur+illumination,7,21.74421370954457,3.431091492596103,0.8390004656898142,0.049215850493418964
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0006000,eyeq_restoration_test,fundus_restoration,blur+illumination+spot,6,22.807118681988214,2.450773069910102,0.8404249064666839,0.038968839788407456
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0006000,eyeq_restoration_test,fundus_restoration,blur+spot,7,34.23655707630776,5.8895529555892665,0.9245721133288214,0.016510960770197872
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0006000,eyeq_restoration_test,fundus_restoration,illumination,7,22.152010400063233,2.2059945605126776,0.8706977329552001,0.031125017268155156
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0006000,eyeq_restoration_test,fundus_restoration,illumination+spot,4,21.185876385535277,5.428771033892372,0.8666297706760049,0.047044177355890324
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0006000,eyeq_restoration_test,fundus_restoration,spot,9,32.62035169771184,6.760502518636753,0.9254032265306213,0.01778349822051322
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0006000,real_fundus_restoration_test,fundus_restoration,low quality fundus image,12,21.722056228157925,4.150257824486713,0.7028410640409425,0.04790592841501834
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0006000,refuge_restoration_test,fundus_restoration,blur,10,24.000244383943993,6.170316377511393,0.885753173181922,0.039164928559585026
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0006000,refuge_restoration_test,fundus_restoration,blur+illumination,9,28.012785072118138,7.88405448887074,0.9018220661375579,0.04590425425910566
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0006000,refuge_restoration_test,fundus_restoration,blur+illumination+spot,5,28.19691523283159,6.9945196204399025,0.9143869604434608,0.04360532023567665
